ID, Type, Context, Modification, Name, Occurrences 
495,METHOD,METHOD_CALL,REMOVED,toLocaleDateString,1
496,METHOD,METHOD_CALL,REMOVED,toLocaleString,1
497,METHOD,METHOD_CALL,REMOVED,unescape,1
498,METHOD,METHOD_CALL,UPDATED,String,1
499,METHOD,METHOD_CALL,UPDATED,defineProperty,1
500,METHOD,METHOD_CALL,UPDATED,getTime,1
501,METHOD,METHOD_CALL,UPDATED,is,1
502,METHOD,METHOD_CALL,UPDATED,isNaN,1
503,METHOD,METHOD_CALL,UPDATED,parseInt,1
504,METHOD,METHOD_CALL,UPDATED,random,1
505,METHOD,METHOD_CALL,UPDATED,reduce,1
506,METHOD,METHOD_CALL,UPDATED,setHours,1
507,METHOD,METHOD_CALL,UPDATED,some,1
508,METHOD,METHOD_CALL,UPDATED,substr,1
509,METHOD,METHOD_CALL,UPDATED,substring,1
510,METHOD,METHOD_CALL,UPDATED,toJSON,1
511,METHOD,METHOD_CALL,UPDATED,valueOf,1
512,METHOD,METHOD_DECLARATION,INSERTED,parse,1
513,METHOD,METHOD_DECLARATION,REMOVED,reverse,1
514,RESERVED,ARGUMENT,INSERTED,class,1
515,RESERVED,ARGUMENT,INSERTED,volatile,1
516,RESERVED,ARGUMENT,REMOVED,import,1
517,RESERVED,ARGUMENT,REMOVED,in,1
518,CONVENTION,ARGUMENT,UPDATED,callback,1
519,RESERVED,ASSIGNMENT_LHS,INSERTED,export,1
520,RESERVED,ASSIGNMENT_LHS,INSERTED,extends,1
521,RESERVED,ASSIGNMENT_LHS,INSERTED,interface,1
522,RESERVED,ASSIGNMENT_LHS,INSERTED,let,1
523,RESERVED,ASSIGNMENT_LHS,INSERTED,new,1
524,RESERVED,ASSIGNMENT_LHS,INSERTED,public,1
525,RESERVED,ASSIGNMENT_LHS,INSERTED,static,1
526,RESERVED,ASSIGNMENT_LHS,INSERTED,typeof,1
527,RESERVED,ASSIGNMENT_LHS,REMOVED,boolean,1
528,RESERVED,ASSIGNMENT_LHS,REMOVED,char,1
529,RESERVED,ASSIGNMENT_LHS,REMOVED,class,1
530,RESERVED,ASSIGNMENT_LHS,REMOVED,delete,1
531,RESERVED,ASSIGNMENT_LHS,REMOVED,in,1
532,RESERVED,ASSIGNMENT_LHS,REMOVED,let,1
533,RESERVED,ASSIGNMENT_LHS,REMOVED,long,1
534,RESERVED,ASSIGNMENT_LHS,REMOVED,native,1
535,RESERVED,ASSIGNMENT_LHS,REMOVED,short,1
536,RESERVED,ASSIGNMENT_LHS,REMOVED,throws,1
537,RESERVED,ASSIGNMENT_LHS,REMOVED,undefined,1
538,RESERVED,ASSIGNMENT_LHS,REMOVED,with,1
539,RESERVED,ASSIGNMENT_LHS,UPDATED,delete,1
540,RESERVED,ASSIGNMENT_RHS,INSERTED,char,1
541,RESERVED,ASSIGNMENT_RHS,INSERTED,delete,1
542,RESERVED,ASSIGNMENT_RHS,INSERTED,interface,1
543,RESERVED,ASSIGNMENT_RHS,REMOVED,arguments,1
544,RESERVED,ASSIGNMENT_RHS,REMOVED,char,1
545,RESERVED,ASSIGNMENT_RHS,REMOVED,import,1
546,RESERVED,CONDITION,INSERTED,long,1
547,RESERVED,CONDITION,INSERTED,return,1
548,RESERVED,CONDITION,INSERTED,throws,1
549,RESERVED,CONDITION,INSERTED,volatile,1
550,RESERVED,CONDITION,REMOVED,default,1
551,RESERVED,CONDITION,REMOVED,throws,1
552,CONVENTION,EXPRESSION,INSERTED,callback,1
553,RESERVED,EXPRESSION,INSERTED,default,1
554,RESERVED,EXPRESSION,INSERTED,false,1
555,RESERVED,EXPRESSION,INSERTED,long,1
556,RESERVED,EXPRESSION,INSERTED,new,1
557,RESERVED,EXPRESSION,REMOVED,arguments,1
558,RESERVED,EXPRESSION,REMOVED,long,1
559,RESERVED,EXPRESSION,UPDATED,arguments,1
560,RESERVED,METHOD_CALL,INSERTED,arguments,1
561,RESERVED,METHOD_CALL,INSERTED,false,1
562,RESERVED,METHOD_CALL,INSERTED,interface,1
563,RESERVED,METHOD_CALL,INSERTED,new,1
564,RESERVED,METHOD_CALL,INSERTED,null,1
565,RESERVED,METHOD_CALL,INSERTED,public,1
566,RESERVED,METHOD_CALL,INSERTED,with,1
567,RESERVED,METHOD_CALL,REMOVED,default,1
568,RESERVED,METHOD_CALL,REMOVED,export,1
569,RESERVED,METHOD_CALL,REMOVED,throws,1
570,RESERVED,METHOD_CALL,REMOVED,true,1
571,CONVENTION,METHOD_CALL,UPDATED,callback,1
572,RESERVED,METHOD_CALL,UPDATED,default,1
573,RESERVED,METHOD_CALL,UPDATED,export,1
574,RESERVED,METHOD_CALL,UPDATED,finally,1
575,RESERVED,METHOD_CALL,UPDATED,in,1
576,RESERVED,METHOD_CALL,UPDATED,throws,1
577,CONVENTION,METHOD_DECLARATION,INSERTED,error,1
578,RESERVED,PARAMETER_DECLARATION,INSERTED,volatile,1
579,CONVENTION,PARAMETER_DECLARATION,UPDATED,error,1
580,RESERVED,VARIABLE_DECLARATION,INSERTED,private,1
581,RESERVED,VARIABLE_DECLARATION,INSERTED,static,1
582,RESERVED,VARIABLE_DECLARATION,INSERTED,volatile,1
